CS Class List,Course Name,Times,Term,Replacements,prerequisites,Professor,Room
CS 1,Computer Science Elective,Transfer,N/A,N/A,N/A,N/A,N/A
CS 2,Computer Science Elective,Transfer,N/A,N/A,N/A,N/A,N/A
CS 141,Introduction to Computer Science I,LEC TR 11:00-12:15 ,Every,N/A,N/A,Chuck Thorpe,360 Science Center
CS 141,Introduction to Computer Science I,LAB F 10:00-10:50,Every,N/A,N/A,Chuck Thorpe,334 Science Center
CS 142,Introduction to Computer Science II,LEC TR 1:30-2:45,Every,EE262,CS 141,Alexis Maciel,160 Sceince Center
CS 241,Computer Organization,LEC TR 9:30-10:45,Spring,N/A,"CS 142, EE 262, or EE 361",Chuck Thorpe,B10L Snell Hall
CS 242,Advanced Programming Concepts in Java,LEC TR 8:00-9:15,Fall,N/A,"CS 142, EE 262, or EE 361",Natasha Banerjee,214 Snell Hall
CS 341,Programming Languages,LEC TR 3:00-4:15,Fall,N/A,"CS142, EE262, or EE361",Chris Lynch ,214 Snell Hall
CS 344,Algorithms & Data Structures,LEC TR 3:00-4:15,Spring,N/A,"CS142, EE262, or EE361 and MA 132",Chuck Thorpe,176 CAMP
CS 345,Automata Theory and and Formal Languages,LEC MWF 9:00-9:50,Fall,N/A,"CS142, EE262, or EE361 and MA211",Alexis Maciel,162 Science Center
CS 350,Software Design and Development,LEC TR 1:30-2:45,Spring,N/A,CS242,Sean Banerjee,B10L Snell Hall
CS 407,Directed Study in Computer Science,N/A,N/A,N/A,N/A,N/A,N/A
CS 408,Directed Study in Computer Science,N/A,N/A,N/A,N/A,N/A,N/A
CS 411,Directed Study in Applied Computer Science,N/A,N/A,N/A,N/A,N/A,N/A
CS 412,Directed Study in Applied Computer Science,N/A,N/A,N/A,N/A,N/A,N/A
CS 442,Computer Complexity,LEC MWF 10:00-10:50,Given When Needed,N/A,CS345,Alexis Maciel,342 Science Center
CS 444,Operating Systems,LEC MWF 2:00-2:50,Spring,N/A,"CS344; CS241, EE360, EE364",Jeanna Matthews,194 CAMP
CS 444,Operating Systems,LAB W 1:00-1:50,Spring,N/A,"CS344; CS241, EE360, EE365",Jeanna Matthews,334 Science Center
CS 445,Complier Construction,LEC: TR 8:00-9:15,Given When Needed,N/A,"CS344; CS345, CS241, CS341",Christino Tamon,Online
CS 449,Computational Learning,LEC TR 11:00-12:15,Fall,N/A,CS344; CS345,Christino Tamon,194 CAMP
CS 451,Artificial Intelligence,LEC: TR 9:35-10:50,Spring,N/A,"CS344 R:CS250,  CS341",Shafique Ahmad Chaudhry,200 Quad Center
CS 452,Computer Graphics,LEC TR 1:30-2:45,Given When Needed,N/A,"CS142, EE361; MA232, MA239 C: MA339",Natasha Banerjee,194 CAMP
CS 455,Computer Networks,LEC MWF 2:00-2:50,Fall,EE407,"EE264, CS241, IT502; EE261, CS141, IT501",Yu Liu,244 Rowley Lab
CS 456,Cryptography,LEC TR 8:00-9:15,Given When Needed,MA 456,"CS142, EE262, EE361; MA211 R: CS334",Christino Tamon,178 CAMP
CS 457,Computer and Network Sercuity,LEC MWF 3:00-3:50,Given When Needed,N/A,CS455; CS142,Jeanna Matthews,334 Science Center
CS 458,Formal Methods for Program Verification,LEC TR 11:00-12:15,Spring,N/A,"MA211, MA346; CS344",Chris Lynch ,184 CAMP
CS 459,Human-Computer Interaction,LEC TR 4:30-5:45,Given When Needed,N/A,"CS242, EE408",Sean Banerjee,382 Science Center
CS 460,Database Systems,LEC MWF 8:00-8:50,Spring,EE468,"??? ""Programming experience in a high-level langauge""",Daqing Hou,194 CAMP
CS 461,Mixed Reality ,LEC TR 9:30-10:45,Given When Needed,N/A,"CS142, EE361; MA232, MA239 C: MA339",Natasha Banerjee,178 CAMP
CS 466,Blockchain Technologies ,LEC TR 11:00-12:15,Given When Needed,N/A,CS344,Yaoqing Liu,334 Science Center
CS 469,Quantum Information & Computation,LEC TR 8:00-9:15,Given When Needed,N/A,"CS344; MA232, MA339",Christino Tamon,356 Science Center
CS 470,Deep Learning,LEC MWF 1:00-1:50,Given When Needed,N/A,"CS142, EE262, EE361; MA339",Sounyabrata Dey,178 CAMP
CS 471,System Administration & Network Operations,LEC MWF 10:00-10:50,Given When Needed,N/A,"CS241, EE260, EE264",Yaoqing Liu,334 Science Center
CS 472,Image Understanding,LEC MWF 1:00-1:50,Given When Needed,N/A,"CS142, EE262, EE361; MA232, MA239 C: MA339",Sounyabrata Dey,344 Science Center
CS 473,Computer Vision,LEC TR 2:30-3:45,Given When Needed,N/A,"CS142, EE262; MA339",Natasha Banerjee,Online
CS 475,"Computing, Ethics and Society",LEC MWF 2:10-3,Given When Needed,N/A,CS141,Jeanna Matthews,162 Science Center
CS 497,Undergraduate Research I,N/A,N/A,N/A,N/A,N/A,N/A
CS 498,Undergraduate Research II,N/A,N/A,N/A,N/A,N/A,N/A
CS 499,Professional Experience,N/A,N/A,N/A,N/A,N/A,N/A
